Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Country
Aston Martin,Vantage,2021,4,717,505,3.5,"147,000",UK
McLaren,570S,2021,3.8,717,443,3.1,"193,000",UK
BMW,M5,2022,4.4,717,553,3.2,"103,500",Germany
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,000",USA
Lexus,LC 500,2021,5,717,398,4.4,"92,950",Japan
Mercedes-AMG,GT 63 S,2021,4,717,664,3.1,"162,000",Germany
Audi,TT RS,2021,2.5,717,354,3.6,"67,600",Germany
Acura,NSX,2021,3.5,717,476,2.9,"157,500",Japan
Porsche,Cayman GT4,2021,4,717,309,4.2,"102,000",Germany
Lamborghini,Aventador S,2021,6.5,717,509,2.9,"417,826",Italy
Ferrari,SF90 Stradale,2021,4,717,590,2.5,"625,000",Italy
Audi,RS 5,2022,2.9,717,443,3.5,"76,700",Germany
McLaren,570S Spider,2020,3.8,717,443,3.1,"208,800",UK
BMW,M2 Competition,2022,3,720,406,4.2,"58,900",Germany
Mercedes-Benz,C 63 AMG,2022,4,720,479,3.9,"69,000",Germany
Chevrolet,Camaro SS,2021,6.2,720,455,4,"42,000",USA
Ford,Mustang GT,2022,5,720,420,4.5,"43,000",USA
Dodge,Challenger R/T,2021,5.7,720,400,5.1,"35,000",USA
Aston Martin,Vantage,2021,4,720,505,3.6,"151,000",UK
Lotus,Evora GT,2021,3.5,720,317,3.8,"105,000",UK
Alfa Romeo,4C Spider,2020,1.7,729,258,4.1,"69,000",Italy
Jaguar,F-Type,2022,2,729,295,5.4,"62,500",UK
Tesla,Roadster,2022,Electric,729,737,1.9,"200,000",USA
Koenigsegg,Jesko,2022,5,729,1106,2.5,"3,000,000",Sweden
Bugatti,Chiron Super Sport 300+,2021,8,729,1180,2.4,"5,200,000",France
Rimac,Nevera,2021,Electric,729,1696,1.85,"2,400,000",Croatia
Porsche,Cayman GT4,2022,4,729,309,4.2,"102,100",Germany
Chevrolet,Camaro ZL1,2022,6.2,730,650,3.5,"63,000",USA
Aston Martin,Vantage,2021,4,730,505,3.5,"142,086",UK
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,730,443,3.8,"83,250",Italy
Dodge,Challenger SRT Hellcat,2021,6.2,730,656,3.5,"65,000",USA
Lexus,LC 500,2022,5,730,398,4.4,"93,050",Japan
Audi,RS 7 Sportback,2021,4,730,590,3.5,"114,000",Germany
BMW,M4 Competition,2022,3,730,479,3.8,"74,700",Germany
Mercedes-Benz,C63 S AMG,2022,4,730,516,3.9,"77,600",Germany
Ford,GT,2022,3.5,730,550,2.9,"500,000",USA
McLaren,GT,2021,4,730,465,3.1,"210,000",UK
Porsche,Panamera Turbo S,2022,4,730,604,2.9,"181,100",Germany
Lamborghini,Aventador S,2021,6.5,730,507,2.9,"417,826",Italy
Aston Martin,DBS Superleggera,2022,5.2,730,664,3.2,"329,100",UK
Audi,TT RS,2022,2.5,730,354,3.6,"67,600",Germany
Mercedes-Benz,AMG C43 Coupe,2021,3,730,384,4.5,"59,900",Germany
BMW,i8,2022,1.5,730,184,4.2,"147,500",Germany
Chevrolet,Corvette Stingray,2021,6.2,750,465,2.9,"59,900",USA
Porsche,Taycan,2022,2.0 (Electric),750,263,3.8,"81,250",Germany
Lamborghini,Aventador,2021,6.5,750,509,2.9,"517,000",Italy
Ferrari,Roma,2021,3.9,750,560,3.3,"222,620",Italy
Audi,RS7,2022,4,750,590,3.5,"115,000",Germany
McLaren,GT,2021,4,750,465,3.1,"210,000",UK
BMW,M2,2022,3,750,406,4.2,"58,900",Germany
Mercedes-Benz,C63 AMG,2021,4,755,479,3.9,"77,000",Germany
Chevrolet,Camaro SS,2021,6.2,755,455,4.1,"43,995",USA
Ford,Mustang Mach 1,2021,5,759,420,4.1,"51,720",USA
Nissan,370Z Nismo,2021,3.7,759,276,4.8,"46,610",Japan
Porsche,Panamera,2022,2.9,759,331,5.3,"88,550",Germany
Lamborghini,Urus,2021,4,759,627,3.6,"218,009",Italy
Ferrari,SF90 Stradale,2021,4.0 (Hybrid),759,590,2.5,"625,000",Italy
Audi,RS6,2022,4,759,590,3.5,"120,000",Germany
McLaren,570S,2021,3.8,759,443,3.1,"192,500",UK
BMW,M4,2022,3,759,479,3.8,"74,000",Germany
Mercedes-Benz,AMG A45,2021,2,759,354,4,"50,000",Germany
Chevrolet,Camaro ZL1,2021,6.2,760,650,3.5,"63,995",USA
Acura,NSX,2021,3.5,760,476,2.7,"157,500",Japan
Aston Martin,Vantage,2021,4,764,505,3.5,"142,086",UK
Bentley,Continental GT,2021,4,764,568,3.3,"202,500",UK
Bugatti,Chiron,2022,8,764,1180,2.4,"2,900,000",France
Ferrari,F8 Tributo,2022,3.9,764,568,2.8,"275,000",Italy
Lamborghini,Aventador,2021,6.5,764,509,2.9,"517,000",Italy
McLaren,GT,2021,4,764,465,3.1,"201,500",UK
Mercedes-Benz,AMG GT R,2021,4,764,516,3.5,"183,000",Germany
Porsche,Taycan Turbo S,2021,Electric,770,774,2.6,"185,000",Germany
Audi,RS7,2021,4,770,590,3.5,"114,000",Germany
BMW,M4,2021,3,770,406,4.1,"71,800",Germany
Chevrolet,Camaro ZL1,2021,6.2,770,650,3.5,"63,000",USA
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,770,707,3.5,"80,190",USA
Ford,GT,2022,3.5,770,550,2.8,"500,000",USA
Jaguar,F-Type,2021,3,770,339,4.4,"62,750",UK
Lexus,LC 500,2021,5,770,398,4.4,"92,000",Japan
Lotus,Evija,2021,Electric,770,1254,2.8,"2,800,000",UK
Maserati,GranTurismo,2021,Electric,770,,2.8,"200,000",Italy
Nissan,370Z,2021,3.7,770,270,5,"30,090",Japan
Rolls-Royce,Ghost,2021,6.8,770,627,4.6,"332,500",UK
Porsche,Taycan,2021,2,770,254,5.1,"81,250",Germany
Aston Martin,DB11,2021,4,780,516,3.7,"198,995",UK
Lotus,Evora GT,2021,3.5,789,317,3.8,"105,000",UK
Acura,NSX,2022,3.5,789,476,2.7,"157,500",Japan
Tesla,Roadster,2022,0,789,"7,376",1.9,"200,000",USA
Chevrolet,Camaro,2022,6.2,789,455,4,"25,000",USA
Dodge,Charger,2021,6.2,789,707,3.3,"72,000",USA
Jaguar,F-Type,2021,3,789,339,4.9,"62,750",UK
Lexus,LC 500,2021,5,791,398,4.4,"93,000",Japan
BMW,M4,2022,3,791,406,4.1,"71,800",Germany
Ford,GT,2021,3.5,797,550,2.9,"500,000",USA
Maserati,GranTurismo,2021,4.7,797,384,4.7,"150,980",Italy
McLaren,600LT,2021,3.8,797,457,2.8,"256,500",UK
Mercedes-Benz,SLS AMG,2021,6.2,797,468,3.6,"254,995",Germany
Nissan,370Z,2021,3.7,797,270,5.2,"30,000",Japan
Audi,RS 7,2021,4,797,590,3.4,"114,000",Germany
Bentley,Continental GT,2021,4,797,568,3.9,"220,000",UK
Bugatti,Chiron,2021,8,797,"1,180",2.4,"3,000,000",France
Porsche,Cayman,2022,2,800,280,4.5,"59,900",Germany
Aston Martin,Vantage,2021,4,800,505,3.5,"147,000",UK
Alfa Romeo,4C Spider,2020,1.7,819,258,4.1,"67,150",Italy
Audi,RS 5,2022,2.9,887,443,3.5,"75,100",Germany
BMW,M2,2022,3,986,406,4,"58,900",Germany
Dodge,Challenger SRT Hellcat,2021,6.2,986,656,3.5,"60,695",USA
Ferrari,F8 Spider,2022,3.9,986,568,2.9,"274,390",Italy
Jaguar,F-Type,2021,3,986,295,5.4,"64,700",UK
Lamborghini,Aventador,2021,6.5,986,531,2.9,"517,770",Italy
Lexus,LC 500,2022,5,986,398,4.4,"92,950",Japan
Lotus,Evora GT,2021,3.5,986,317,3.8,"99,990",UK
Maserati,GranTurismo,2021,4.7,986,384,4.7,"150,800",Italy
McLaren,GT,2021,4,986,465,3.1,"210,000",UK
Mercedes-Benz,AMG C 63,2021,4,986,479,3.8,"67,600",Germany
Nissan,370Z Nismo,2021,3.7,986,276,4.5,"45,790",Japan
Porsche,Panamera,2022,2.9,986,331,5.3,"88,800",Germany
Subaru,WRX STI,2021,2.5,986,290,5.2,"38,170",Japan
Tesla,Roadster,2022,,986,,1.9,"200,000",USA
Porsche,718 Cayman,2022,2,986,280,4.9,"61,500",Germany
Lamborghini,Aventador,2021,6.5,986,509,2.9,"393,695",Italy
Ferrari,SF90 Stradale,2022,4,986,590,2.5,"625,000",Italy
Audi,RS5 Coupe,2022,2.9,986,443,3.5,"76,350",Germany
McLaren,570S,2021,3.8,986,443,3.1,"202,000",UK
BMW,M2,2022,3,986,406,4,"58,900",Germany
Mercedes-Benz,SL,2022,3,986,384,4.4,"96,000",Germany
Chevrolet,Camaro,2021,6.2,986,455,4,"25,000",USA
Ford,GT,2022,3.5,986,550,2.8,"500,000",USA
Nissan,370Z,2021,3.7,1000,270,5.3,"33,000",Japan
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,1020,443,3.8,"75,250",Italy
Aston Martin,DB11,2022,4,1020,516,3.7,"201,495",UK
Bentley,Continental GT,2021,6,1020,664,3.3,"201,000",UK
Dodge,Challenger,2021,6.4,1020,475,3.8,"62,000",USA
Jaguar,F-Type R,2022,5,1020,516,3.5,"103,200",UK
Lexus,LC 500,2022,5,1020,398,4.4,"92,950",Japan
Lotus,Evora GT,2021,3.5,1020,317,3.8,"99,000",UK
Maserati,GranTurismo,2021,4.7,1020,384,4.7,"150,000",Italy
Porsche,Cayman GT4,2021,4,1020,309,4.2,"102,500",Germany
Aston Martin,Vantage,2022,4,1020,505,3.5,"149,995",UK
Dodge,Charger SRT Hellcat,2022,6.2,1020,650,3.5,"78,595",USA
Audi,RS 7,2021,4,1035,590,3.5,"114,000",Germany
Chevrolet,Camaro SS,2022,6.2,1200,455,4.1,"37,500",USA
Ford,Mustang GT,2022,5,1262,420,4,"38,500",USA
Jaguar,F-Type R,2022,5,1280,516,3.5,"103,200",UK
Lexus,LC 500,2022,5,1280,398,4.4,"92,950",Japan
McLaren,570S,2021,3.8,1280,443,3.1,"208,800",UK
Mercedes-Benz,AMG C63,2022,4,1280,479,3.8,"71,450",Germany
Nissan,370Z Nismo,2021,3.7,1280,276,4.9,"47,820",Japan
Porsche,Panamera GTS,2021,4,1280,457,3.9,"134,150",Germany
Audi,TT RS,2022,2.5,1280,354,3.6,"67,600",Germany
BMW,M4,2021,3,1280,406,3.8,"71,800",Germany
Ferrari,F8 Tributo,2021,3.9,1280,568,2.8,"274,280",Italy
Lamborghini,Aventador,2021,6.5,1280,531,2.9,"393,695",Italy
McLaren,GT,2021,4,1479,465,3.1,"250,000",UK
Mercedes-Benz,AMG GT 4-Door Coupe,2021,4,1479,664,3.1,"171,200",Germany
Aston Martin,DBS Superleggera,2022,5.2,1479,663,3.4,"321,000",UK
Lotus,Evora GT,2021,3.5,1479,317,3.8,"100,500",UK
Porsche,Taycan Turbo S,2021,Electric,1479,774,2.6,"185,000",Germany
McLaren,570S,2021,3.8,1500,443,3.1,"195,000",UK
Lamborghini,Aventador SVJ,2021,6.5,1500,531,2.8,"517,770",Italy
Ford,GT,2021,3.5,1500,550,3,"500,000",USA
Audi,RS7 Sportback,2022,4,1500,590,3.5,"114,000",Germany
BMW,M4,2022,3,1500,406,4.1,"72,800",Germany
Mercedes-AMG,C63 S,2022,4,1500,516,3.7,"78,100",Germany
Chevrolet,Camaro ZL1,2021,6.2,1500,650,3.5,"63,000",USA
Dodge,Charger Hellcat,2021,6.2,1500,650,3.6,"70,000",USA
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,1500,443,3.8,"78,450",Italy
Tesla,Model S Plaid,2022,Electric,1500,"1,050",1.9,"141,190",USA
Ferrari,SF90 Stradale,2021,4,1500,590,2.5,"625,000",Italy
Porsche,Panamera Turbo S E-Hybrid,2021,Hybrid,1500,642,3,"190,000",Germany
McLaren,Artura,2022,3,1500,531,3,"225,000",UK
Lamborghini,Urus,2021,4,1500,627,3.6,"222,000",Italy
Ford,Mustang Mach 1,2021,5,"1,500",420,4,"52,915",USA
Porsche,911,2022,3,1500,331,4,"101,200",Germany
Lamborghini,Huracan,2021,5.2,1578,443,2.8,"274,390",Italy
Ferrari,488 GTB,2022,3.9,1578,561,3,"333,750",Italy
Audi,R8,2022,5.2,1600,406,3.2,"142,700",Germany
McLaren,720S,2021,4,1600,568,2.7,"298,000",UK
BMW,M8,2022,4.4,1600,553,3.1,"130,000",Germany
Mercedes-Benz,AMG GT,2021,4,1600,494,3.8,"118,500",Germany
Chevrolet,Corvette,2021,6.2,1872,465,2.8,"59,900",USA
Ford,Mustang Shelby GT500,2022,5.2,1874,625,3.5,"81,000",USA
Nissan,GT-R Nismo,2021,3.8,1888,481,2.5,"212,000",Japan
Dodge,Challenger SRT Hellcat,2021,6.2,1888,656,3.5,"64,195",USA
Aston Martin,Vantage,2021,4,1914,505,3.6,"147,000",UK
Bugatti,Chiron,2022,8,1914,1180,2.5,"3,900,000",France
Koenigsegg,Jesko,2022,5,1914,1015,2.5,"3,000,000",Sweden
Pagani,Huayra,2021,6,1914,740,2.8,"2,600,000",Italy
Rimac,Nevera,2022,Electric,1914,1696,1.85,"2,400,000",Croatia
Lotus,Evija,2022,Electric,1914,1254,2.5,"2,000,000",UK
Pininfarina,Battista,2021,Electric,1914,1696,1.9,"2,500,000",Italy
Maserati,MC20,2021,3,1914,538,2.9,"210,000",Italy
Porsche,Cayman,2021,2,1914,280,5.1,"59,900",Germany
Lamborghini,Aventador,2021,6.5,1914,509,2.9,"393,695",Italy
Ferrari,SF90 Stradale,2021,4,1914,590,2.5,"625,000",Italy
Audi,RS 5,2021,2.9,1914,443,3.5,"75,100",Germany
McLaren,GT,2022,4,1972,465,3.1,"210,000",UK
BMW,M2,2021,3,1972,406,4,"58,900",Germany
Mercedes-Benz,SLS AMG,2021,6.3,1973,468,3.6,"254,500",Germany
Chevrolet,Camaro,2021,6.2,1973,455,4,"25,000",USA
Ford,Mustang,2021,2.3,1973,350,5.3,"27,205",USA
Nissan,370Z,2021,3.7,2000,270,5.1,"30,090",Japan
Aston Martin,Vantage,2021,4,10000,505,3.6,"146,000",UK
Bugatti,Chiron,2021,8,1000,1180,2.4,"3,000,000",France
Koenigsegg,Jesko,2022,5,10000,1106,2.5,"3,000,000",Sweden
Lotus,Evija,2021,Electric Motor,1000,1254,2,"2,000,000",UK
McLaren,Senna,2021,4,1000,590,2.7,"1,000,000",UK
Pagani,Huayra,2021,6,1000,738,3,"2,600,000",Italy
Rimac,Nevera,2021,Electric Motor,10000,1696,1.85,"2,400,000",Croatia
